unit_index,task,band,dyad,ch1_index,ch2_index,ch1,ch2,observed_effect,observed_studentized,p_label_unadjusted,p_label_maxT,label_candidate
0,decision,delta,pair12,0,0,P3,P3,-0.034207724034786224,-1.4708517789840698,0.14217156568686262,1.0,False
1,decision,delta,pair12,0,1,P3,C3,-0.00686737522482872,-0.29775097966194153,0.7598480303939212,1.0,False
2,decision,delta,pair12,0,2,P3,F3,-0.008656660094857216,-0.37200555205345154,0.7108578284343131,1.0,False
3,decision,delta,pair12,0,3,P3,Fz,0.005702097900211811,0.22989094257354736,0.8164367126574685,1.0,False
4,decision,delta,pair12,0,4,P3,F4,-0.020529011264443398,-0.8947478532791138,0.375124975004999,1.0,False
5,decision,delta,pair12,0,5,P3,C4,-0.04077339172363281,-1.6348283290863037,0.09778044391121776,1.0,False
6,decision,delta,pair12,0,6,P3,P4,-0.015501010231673717,-0.6656066179275513,0.5150969806038792,1.0,False
7,decision,delta,pair12,0,7,P3,Cz,-0.001642316929064691,-0.05864279344677925,0.9530093981203759,1.0,False
8,decision,delta,pair12,0,8,P3,Pz,-0.0011246999492868781,-0.053518541157245636,0.9590081983603279,1.0,False
9,decision,delta,pair12,0,9,P3,Fp1,-0.04483897611498833,-1.7501473426818848,0.07958408318336332,1.0,False
10,decision,delta,pair12,0,10,P3,Fp2,-0.029701121151447296,-1.2164180278778076,0.22595480903819237,1.0,False
11,decision,delta,pair12,0,11,P3,T3,-0.022342924028635025,-0.9197596311569214,0.3583283343331334,1.0,False
12,decision,delta,pair12,0,12,P3,T5,-0.013536989688873291,-0.5790088176727295,0.5678864227154569,1.0,False
13,decision,delta,pair12,0,13,P3,O1,-0.032289545983076096,-1.2916985750198364,0.19716056788642272,1.0,False
14,decision,delta,pair12,0,14,P3,O2,0.002018027240410447,0.09852435439825058,0.9268146370725855,1.0,False
15,decision,delta,pair12,0,15,P3,F7,-0.040118277072906494,-1.7743555307388306,0.08098380323935213,1.0,False
16,decision,delta,pair12,0,16,P3,F8,0.0011556847020983696,0.05152692645788193,0.9596080783843232,1.0,False
17,decision,delta,pair12,0,17,P3,T6,0.0198261346668005,0.8218826651573181,0.40991801639672065,1.0,False
18,decision,delta,pair12,0,18,P3,T4,-0.03969501703977585,-1.5845807790756226,0.11437712457508498,1.0,False
19,decision,delta,pair12,1,0,C3,P3,-0.00919567421078682,-0.3653523921966553,0.7134573085382924,1.0,False
20,decision,delta,pair12,1,1,C3,C3,0.012661589309573174,0.5305340886116028,0.6048790241951609,1.0,False
21,decision,delta,pair12,1,2,C3,F3,0.0025575272738933563,0.11610578745603561,0.9052189562087583,1.0,False
22,decision,delta,pair12,1,3,C3,Fz,0.03588483855128288,1.5550044775009155,0.11717656468706258,1.0,False
23,decision,delta,pair12,1,4,C3,F4,-0.012238276191055775,-0.5055199265480042,0.6202759448110378,1.0,False
24,decision,delta,pair12,1,5,C3,C4,-0.0253463052213192,-1.0568745136260986,0.28654269146170763,1.0,False
25,decision,delta,pair12,1,6,C3,P4,-0.04800223559141159,-2.0212721824645996,0.04599080183963208,1.0,False
26,decision,delta,pair12,1,7,C3,Cz,-0.03189200907945633,-1.2897385358810425,0.1985602879424115,1.0,False
27,decision,delta,pair12,1,8,C3,Pz,-0.05075281113386154,-2.051142930984497,0.03959208158368326,1.0,False
