group,task,n_total,n_excluded,n_retained,CCC_total,Other_total,CCC_excluded,Other_excluded,CCC_retained,Other_retained,both_classes_retained
G01,decision,40,0,40,12,28,0,0,12,28,True
G01,feedback,40,0,40,12,28,0,0,12,28,True
G02,decision,40,9,31,37,3,6,3,31,0,False
G02,feedback,40,12,28,37,3,10,2,27,1,True
G03,decision,40,0,40,19,21,0,0,19,21,True
G03,feedback,40,0,40,19,21,0,0,19,21,True
G04,decision,40,0,40,23,17,0,0,23,17,True
G04,feedback,40,0,40,23,17,0,0,23,17,True
G05,decision,40,0,40,6,34,0,0,6,34,True
G05,feedback,40,0,40,6,34,0,0,6,34,True
G06,decision,40,0,40,36,4,0,0,36,4,True
G06,feedback,40,0,40,36,4,0,0,36,4,True
G07,decision,40,10,30,39,1,10,0,29,1,True
G07,feedback,40,11,29,39,1,10,1,29,0,False
G08,decision,40,0,40,10,30,0,0,10,30,True
G08,feedback,40,0,40,10,30,0,0,10,30,True
G09,decision,40,0,40,12,28,0,0,12,28,True
G09,feedback,40,0,40,12,28,0,0,12,28,True
G10,decision,40,0,40,35,5,0,0,35,5,True
G10,feedback,40,0,40,35,5,0,0,35,5,True
G11,decision,40,5,35,22,18,3,2,19,16,True
G11,feedback,40,2,38,22,18,2,0,20,18,True
