group,task,trial_1based,retain_sensitivity,BT_label,flag_source_subjects
G01,decision,1,True,CCC,
G01,decision,2,True,CCC,
G01,decision,3,True,CCC,
G01,decision,4,True,CCC,
G01,decision,5,True,CCC,
G01,decision,6,True,CCC,
G01,decision,7,True,CCC,
G01,decision,8,True,CCC,
G01,decision,9,True,CCC,
G01,decision,10,True,CCC,
G01,decision,11,True,Other,
G01,decision,12,True,Other,
G01,decision,13,True,Other,
G01,decision,14,True,Other,
G01,decision,15,True,Other,
G01,decision,16,True,Other,
G01,decision,17,True,Other,
G01,decision,18,True,Other,
G01,decision,19,True,Other,
G01,decision,20,True,Other,
G01,decision,21,True,Other,
G01,decision,22,True,Other,
G01,decision,23,True,CCC,
G01,decision,24,True,CCC,
G01,decision,25,True,Other,
G01,decision,26,True,Other,
G01,decision,27,True,Other,
G01,decision,28,True,Other,
G01,decision,29,True,Other,
G01,decision,30,True,Other,
G01,decision,31,True,Other,
G01,decision,32,True,Other,
G01,decision,33,True,Other,
G01,decision,34,True,Other,
G01,decision,35,True,Other,
G01,decision,36,True,Other,
G01,decision,37,True,Other,
G01,decision,38,True,Other,
G01,decision,39,True,Other,
G01,decision,40,True,Other,
G01,feedback,1,True,CCC,
G01,feedback,2,True,CCC,
G01,feedback,3,True,CCC,
G01,feedback,4,True,CCC,
G01,feedback,5,True,CCC,
G01,feedback,6,True,CCC,
G01,feedback,7,True,CCC,
G01,feedback,8,True,CCC,
G01,feedback,9,True,CCC,
G01,feedback,10,True,CCC,
G01,feedback,11,True,Other,
G01,feedback,12,True,Other,
G01,feedback,13,True,Other,
G01,feedback,14,True,Other,
G01,feedback,15,True,Other,
G01,feedback,16,True,Other,
G01,feedback,17,True,Other,
G01,feedback,18,True,Other,
G01,feedback,19,True,Other,
G01,feedback,20,True,Other,
G01,feedback,21,True,Other,
G01,feedback,22,True,Other,
G01,feedback,23,True,CCC,
G01,feedback,24,True,CCC,
G01,feedback,25,True,Other,
G01,feedback,26,True,Other,
G01,feedback,27,True,Other,
G01,feedback,28,True,Other,
G01,feedback,29,True,Other,
G01,feedback,30,True,Other,
