group,block,trial_range,CCC,Other,minority,information_weight,unique_within_block_label_allocations,informative_within_block
G01,1,1-10,10,0,0,0.0,1,False
G01,2,11-20,0,10,0,0.0,1,False
G01,3,21-30,2,8,2,1.6,45,True
G01,4,31-40,0,10,0,0.0,1,False
G02,1,1-10,10,0,0,0.0,1,False
G02,2,11-20,10,0,0,0.0,1,False
G02,3,21-30,8,2,2,1.6,45,True
G02,4,31-40,9,1,1,0.9,10,True
G03,1,1-10,7,3,3,2.1,120,True
G03,2,11-20,4,6,4,2.4,210,True
G03,3,21-30,8,2,2,1.6,45,True
G03,4,31-40,0,10,0,0.0,1,False
G04,1,1-10,1,9,1,0.9,10,True
G04,2,11-20,3,7,3,2.1,120,True
G04,3,21-30,9,1,1,0.9,10,True
G04,4,31-40,10,0,0,0.0,1,False
G05,1,1-10,6,4,4,2.4,210,True
G05,2,11-20,0,10,0,0.0,1,False
G05,3,21-30,0,10,0,0.0,1,False
G05,4,31-40,0,10,0,0.0,1,False
G06,1,1-10,10,0,0,0.0,1,False
G06,2,11-20,10,0,0,0.0,1,False
G06,3,21-30,10,0,0,0.0,1,False
G06,4,31-40,6,4,4,2.4,210,True
G07,1,1-10,10,0,0,0.0,1,False
G07,2,11-20,10,0,0,0.0,1,False
G07,3,21-30,10,0,0,0.0,1,False
G07,4,31-40,9,1,1,0.9,10,True
G08,1,1-10,1,9,1,0.9,10,True
G08,2,11-20,2,8,2,1.6,45,True
G08,3,21-30,1,9,1,0.9,10,True
G08,4,31-40,6,4,4,2.4,210,True
G09,1,1-10,10,0,0,0.0,1,False
G09,2,11-20,2,8,2,1.6,45,True
G09,3,21-30,0,10,0,0.0,1,False
G09,4,31-40,0,10,0,0.0,1,False
G10,1,1-10,8,2,2,1.6,45,True
G10,2,11-20,10,0,0,0.0,1,False
G10,3,21-30,10,0,0,0.0,1,False
G10,4,31-40,7,3,3,2.1,120,True
G11,1,1-10,4,6,4,2.4,210,True
G11,2,11-20,2,8,2,1.6,45,True
G11,3,21-30,9,1,1,0.9,10,True
G11,4,31-40,7,3,3,2.1,120,True
