cell_id,scenario,labels_mode,coupling_strength,shared_strength,phase_noise_sd,n_repetitions,n_true_edges,naive_any_detection_rate,naive_any_detection_ci_low,naive_any_detection_ci_high,naive_FWER,naive_FWER_ci_low,naive_FWER_ci_high,mean_naive_sensitivity,mean_naive_sensitivity_ci_low,mean_naive_sensitivity_ci_high,mean_naive_precision,mean_naive_precision_ci_low,mean_naive_precision_ci_high,mean_naive_fpr,mean_naive_fpr_ci_low,mean_naive_fpr_ci_high,mean_naive_f1,mean_naive_f1_ci_low,mean_naive_f1_ci_high,mean_naive_n_detected,mean_naive_n_detected_ci_low,mean_naive_n_detected_ci_high,naive_all_true_recovered_rate,naive_all_true_recovered_ci_low,naive_all_true_recovered_ci_high,naive_zero_false_positives_rate,naive_zero_false_positives_ci_low,naive_zero_false_positives_ci_high,naive_exact_recovery_rate,naive_exact_recovery_ci_low,naive_exact_recovery_ci_high,label_any_detection_rate,label_any_detection_ci_low,label_any_detection_ci_high,label_FWER,label_FWER_ci_low,label_FWER_ci_high,mean_label_sensitivity,mean_label_sensitivity_ci_low,mean_label_sensitivity_ci_high,mean_label_precision,mean_label_precision_ci_low,mean_label_precision_ci_high,mean_label_fpr,mean_label_fpr_ci_low,mean_label_fpr_ci_high,mean_label_f1,mean_label_f1_ci_low,mean_label_f1_ci_high,mean_label_n_detected,mean_label_n_detected_ci_low,mean_label_n_detected_ci_high,label_all_true_recovered_rate,label_all_true_recovered_ci_low,label_all_true_recovered_ci_high,label_zero_false_positives_rate,label_zero_false_positives_ci_low,label_zero_false_positives_ci_high,label_exact_recovery_rate,label_exact_recovery_ci_low,label_exact_recovery_ci_high,full_any_detection_rate,full_any_detection_ci_low,full_any_detection_ci_high,full_FWER,full_FWER_ci_low,full_FWER_ci_high,mean_full_sensitivity,mean_full_sensitivity_ci_low,mean_full_sensitivity_ci_high,mean_full_precision,mean_full_precision_ci_low,mean_full_precision_ci_high,mean_full_fpr,mean_full_fpr_ci_low,mean_full_fpr_ci_high,mean_full_f1,mean_full_f1_ci_low,mean_full_f1_ci_high,mean_full_n_detected,mean_full_n_detected_ci_low,mean_full_n_detected_ci_high,full_all_true_recovered_rate,full_all_true_recovered_ci_low,full_all_true_recovered_ci_high,full_zero_false_positives_rate,full_zero_false_positives_ci_low,full_zero_false_positives_ci_high,full_exact_recovery_rate,full_exact_recovery_ci_low,full_exact_recovery_ci_high,mean_raw_auprc,mean_raw_auprc_ci_low,mean_raw_auprc_ci_high,mean_label_score_auprc,mean_label_score_auprc_ci_low,mean_label_score_auprc_ci_high,mean_raw_topk_recall,mean_raw_topk_recall_ci_low,mean_raw_topk_recall_ci_high
N_IND_1,independent_null,empirical,0.0,0.0,0.06,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.051944444444444446,0.04814814814814815,0.05583333333333334,0.0,0.0,0.0,5.61,5.21,6.02,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.07,0.03431926106727268,0.137495147390735,0.07,0.03431926106727268,0.137495147390735,nan,nan,nan,0.0,0.0,0.0,0.0006481481481481481,0.00018518518518518518,0.0011111111111111111,0.0,0.0,0.0,0.07,0.02,0.13,0.0,3.469446951953614e-18,0.03699349820698568,0.93,0.8625048526092651,0.9656807389327273,0.0,3.469446951953614e-18,0.03699349820698568,0.03,0.010254524024038925,0.0845193642905276,0.03,0.010254524024038925,0.0845193642905276,nan,nan,nan,0.0,0.0,0.0,0.0002777777777777778,0.0,0.0005555555555555556,0.0,0.0,0.0,0.03,0.0,0.07,0.0,3.469446951953614e-18,0.03699349820698568,0.97,0.9154806357094724,0.9897454759759611,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
N_IND_2,independent_null,empirical,0.0,0.0,0.1,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.04898148148148148,0.04499999999999999,0.05324074074074074,0.0,0.0,0.0,5.29,4.85,5.77,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.03,0.010254524024038925,0.0845193642905276,0.03,0.010254524024038925,0.0845193642905276,nan,nan,nan,0.0,0.0,0.0,0.0002777777777777778,0.0,0.0006481481481481481,0.0,0.0,0.0,0.03,0.0,0.07,0.0,3.469446951953614e-18,0.03699349820698568,0.97,0.9154806357094724,0.9897454759759611,0.0,3.469446951953614e-18,0.03699349820698568,0.02,0.00550196755016235,0.07001179072854388,0.02,0.00550196755016235,0.07001179072854388,nan,nan,nan,0.0,0.0,0.0,0.00018518518518518518,0.0,0.0004629629629629629,0.0,0.0,0.0,0.02,0.0,0.05,0.0,3.469446951953614e-18,0.03699349820698568,0.98,0.929988209271456,0.9944980324498376,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
N_IND_3,independent_null,empirical,0.0,0.0,0.14,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.047962962962962964,0.04388888888888889,0.05212962962962963,0.0,0.0,0.0,5.18,4.76,5.640249999999998,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.06,0.027786123963188192,0.1247681544589592,0.06,0.027786123963188192,0.1247681544589592,nan,nan,nan,0.0,0.0,0.0,0.0005555555555555556,0.00018518518518518518,0.0010185185185185184,0.0,0.0,0.0,0.06,0.02,0.11,0.0,3.469446951953614e-18,0.03699349820698568,0.94,0.8752318455410406,0.9722138760368118,0.0,3.469446951953614e-18,0.03699349820698568,0.03,0.010254524024038925,0.0845193642905276,0.03,0.010254524024038925,0.0845193642905276,nan,nan,nan,0.0,0.0,0.0,0.0002777777777777778,0.0,0.0006481481481481481,0.0,0.0,0.0,0.03,0.0,0.06,0.0,3.469446951953614e-18,0.03699349820698568,0.97,0.9154806357094724,0.9897454759759611,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
N_GLOB_1,global_shared_event,balanced_identical,0.0,0.35,0.1,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.8519444444444443,0.8435162037037035,0.8605578703703706,0.0,0.0,0.0,92.01,91.06,92.93025,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.3649074074074074,0.35416666666666663,0.3754629629629629,0.0,0.0,0.0,39.41,38.25975,40.6,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.15,0.0930598528365663,0.23283559590832364,0.15,0.0930598528365663,0.23283559590832364,nan,nan,nan,0.0,0.0,0.0,0.001388888888888889,0.0007407407407407407,0.002129629629629629,0.0,0.0,0.0,0.15,0.08,0.22,0.0,3.469446951953614e-18,0.03699349820698568,0.85,0.7671644040916763,0.9069401471634337,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
N_GLOB_2,global_shared_event,balanced_identical,0.0,0.6,0.1,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,108.0,108.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,108.0,108.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.09,0.04807254000256516,0.1622621285271631,0.09,0.04807254000256516,0.1622621285271631,nan,nan,nan,0.0,0.0,0.0,0.0008333333333333333,0.00037037037037037035,0.001388888888888889,0.0,0.0,0.0,0.09,0.04,0.15,0.0,3.469446951953614e-18,0.03699349820698568,0.91,0.837737871472837,0.9519274599974348,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
N_GLOB_3,global_shared_event,balanced_identical,0.0,0.85,0.1,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,108.0,108.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,108.0,108.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.02,0.00550196755016235,0.07001179072854388,0.02,0.00550196755016235,0.07001179072854388,nan,nan,nan,0.0,0.0,0.0,0.00018518518518518518,0.0,0.0004629629629629629,0.0,0.0,0.0,0.02,0.0,0.05,0.0,3.469446951953614e-18,0.03699349820698568,0.98,0.929988209271456,0.9944980324498376,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
N_GROUP_1,group_shared_event,empirical,0.0,0.35,0.1,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.4457407407407407,0.4351828703703703,0.45629629629629626,0.0,0.0,0.0,48.14,46.97,49.33,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.06231481481481481,0.05787037037037037,0.06713194444444442,0.0,0.0,0.0,6.73,6.23,7.260249999999998,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.63,0.5322052958094291,0.7181763946567546,0.63,0.5322052958094291,0.7181763946567546,nan,nan,nan,0.0,0.0,0.0,0.008148148148148147,0.006666666666666666,0.009722222222222222,0.0,0.0,0.0,0.88,0.72,1.05,0.0,3.469446951953614e-18,0.03699349820698568,0.37,0.28182360534324524,0.4677947041905709,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
N_GROUP_2,group_shared_event,empirical,0.0,0.6,0.1,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,108.0,108.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,108.0,108.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.07925925925925925,0.0737037037037037,0.08462962962962962,0.0,0.0,0.0,8.56,7.97975,9.17,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
N_GROUP_3,group_shared_event,empirical,0.0,0.85,0.1,100,0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,108.0,108.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,108.0,108.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,nan,nan,nan,0.0,0.0,0.0,0.1674074074074074,0.15925694444444446,0.17537037037037043,0.0,0.0,0.0,18.08,17.13975,18.990249999999996,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_TRUE_1_1,sparse_true,empirical,0.35,0.0,0.06,50,3,1.0,0.9286524008666414,1.0,nan,nan,nan,0.6533333333333333,0.5733333333333334,0.7266666666666666,0.16111246055286305,0.14005361869167984,0.18083363737440747,0.09904761904761901,0.09218571428571426,0.10609999999999997,0.2566597083686867,0.22500537347069852,0.28840504431499014,12.36,11.58,13.14,0.3,0.19103553500880954,0.437503504644534,0.0,6.938893903907228e-18,0.07134759913335872,0.0,6.938893903907228e-18,0.07134759913335872,0.72,0.5833487630404344,0.8252582933408878,nan,nan,nan,0.12666666666666665,0.07999999999999999,0.18,0.37592592592592594,0.23701388888888886,0.5240740740740741,0.00761904761904762,0.0051428571428571435,0.010285714285714287,0.16109523809523807,0.10082976190476191,0.2245238095238095,1.18,0.88,1.52,0.0,6.938893903907228e-18,0.07134759913335872,0.5,0.3664451431682858,0.6335548568317142,0.0,6.938893903907228e-18,0.07134759913335872,0.28,0.17474170665911232,0.4166512369595657,nan,nan,nan,0.02,0.0,0.05333333333333333,0.11904761904761904,0.0,0.2857142857142857,0.0024761904761904764,0.0013333333333333335,0.0036190476190476194,0.02333333333333333,0.0,0.05999999999999999,0.32,0.18,0.48,0.0,6.938893903907228e-18,0.07134759913335872,0.74,0.6044684273515117,0.8412847250644762,0.0,6.938893903907228e-18,0.07134759913335872,0.32309034486385807,0.2684225555735852,0.37899319319774033,0.3074914399326164,0.2500865402571285,0.3639514417227652,0.23999999999999996,0.18,0.3
