scenario,coupling,shared,noise,n,n_true,current_FWER,augmented_FWER,current_sensitivity,augmented_sensitivity,current_precision,augmented_precision
global_shared_event,0.0,0.35,0.1,100,0,0.08,0.01,nan,nan,nan,nan
global_shared_event,0.0,0.6,0.1,100,0,0.05,0.0,nan,nan,nan,nan
group_shared_event,0.0,0.35,0.1,100,0,0.52,0.07,nan,nan,nan,nan
group_shared_event,0.0,0.6,0.1,100,0,1.0,0.01,nan,nan,nan,nan
group_shared_event,0.0,0.85,0.1,100,0,1.0,0.0,nan,nan,nan,nan
sparse_true,0.6,0.0,0.06,75,3,nan,nan,0.34222222222222226,0.34222222222222226,0.31316137566137564,0.3304828973843058
sparse_true,0.6,0.0,0.1,75,3,nan,nan,0.16,0.16,0.28620689655172415,0.2921052631578947
sparse_true,0.85,0.0,0.06,75,3,nan,nan,0.43555555555555564,0.43555555555555564,0.26968253968253963,0.27634920634920634
sparse_true,0.85,0.0,0.1,75,3,nan,nan,0.2311111111111111,0.2311111111111111,0.29361628709454796,0.30238095238095236
sparse_true_plus_group_shared,0.6,0.6,0.06,75,3,nan,nan,0.3155555555555556,0.22222222222222218,0.036502920917811155,0.1586121836121836
sparse_true_plus_group_shared,0.6,0.6,0.1,75,3,nan,nan,0.17777777777777778,0.14666666666666667,0.06419173419173418,0.27678571428571425
sparse_true_plus_group_shared,0.85,0.6,0.06,75,3,nan,nan,0.3733333333333333,0.3422222222222222,0.038400422436902906,0.12373940873940872
sparse_true_plus_group_shared,0.85,0.6,0.1,75,3,nan,nan,0.15111111111111108,0.15111111111111108,0.04968494468494469,0.1619378306878307
