omitted_triad,omitted_group_index_zero_based,unit_index,task,band,dyad,ch1,ch2,full_effect,LOTO_effect,LOTO_minus_full,same_direction_as_full
G01,0,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.06517045280728097,-0.0014947421213651196,True
G01,0,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.0808181726163731,0.0023735725110874545,True
G01,0,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.08012985352590554,-0.008847781380863257,True
G02,1,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.06957817751866911,0.002912982590023025,True
G02,1,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.07370349425003582,-0.004741105855249825,True
G02,1,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.09424717557175782,0.005269540664989025,True
G03,2,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.0710281484741871,0.004362953545541018,True
G03,2,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.0879658542162813,0.00952125411099565,True
G03,2,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.10063582593287587,0.011658191026107073,True
G04,3,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.07070757485244937,0.004042379923803283,True
G04,3,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.06656881575432194,-0.011875784350963703,True
G04,3,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.08538693142241077,-0.0035907034843580266,True
G05,4,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.07081458239032902,0.004149387461682932,True
G05,4,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.08244154015282777,0.003996940047542127,True
G05,4,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.08724592895185625,-0.0017317059549125519,True
G06,5,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.06670565323249927,4.045830385318583e-05,True
G06,5,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.07541004993062389,-0.0030345501746617543,True
G06,5,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.08613679897296,-0.002840835933808794,True
G07,6,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.0660775155990477,-0.000587679329598384,True
G07,6,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.07913262959494853,0.0006880294896628864,True
G07,6,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.09205516704924373,0.0030775321424749286,True
G08,7,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.06646308101883974,-0.00020211390980634514,True
G08,7,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.07687530692091825,-0.0015692931843673957,True
G08,7,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.081121949955891,-0.007855684950877795,True
G09,8,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.0566490916533448,-0.010016103275301287,True
G09,8,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.07495244945734522,-0.003492150647940423,True
G09,8,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.09452998255350903,0.00555234764674023,True
G10,9,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.06534524711939955,-0.0013199478092465328,True
G10,9,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.07728781404296757,-0.0011567860623180742,True
G10,9,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.09147576043961332,0.0024981255328445223,True
G11,10,3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.06547347232803467,-0.001191722600611414,True
G11,10,4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.08943988252547336,0.010995282420187713,True
G11,10,8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.08572924389415258,-0.003248391012616217,True
