triad,group_index_zero_based,information_weight,unit_index,task,band,dyad,ch1,ch2,triad_effect,same_direction_as_full
G01,0,1.600000023841858,3801,decision,beta,pair13,Fp2,C3,0.10057714581489563,True
G01,0,1.600000023841858,4994,decision,gamma,pair13,F7,F8,0.02459413930773735,True
G01,0,1.600000023841858,8156,feedback,beta,pair13,T3,C4,0.28971171379089355,True
G02,1,2.5,3801,decision,beta,pair13,Fp2,C3,0.025417353957891464,True
G02,1,2.5,4994,decision,gamma,pair13,F7,F8,0.14557863771915436,True
G02,1,2.5,8156,feedback,beta,pair13,T3,C4,0.014360963366925716,True
G03,2,6.099999904632568,3801,decision,beta,pair13,Fp2,C3,0.0439206138253212,True
G03,2,6.099999904632568,4994,decision,gamma,pair13,F7,F8,0.0288091991096735,True
G03,2,6.099999904632568,8156,feedback,beta,pair13,T3,C4,0.028202155604958534,True
G04,3,3.9000000953674316,3801,decision,beta,pair13,Fp2,C3,0.03142393007874489,True
G04,3,3.9000000953674316,4994,decision,gamma,pair13,F7,F8,0.1819770634174347,True
G04,3,3.9000000953674316,8156,feedback,beta,pair13,T3,C4,0.12028121948242188,True
G05,4,2.4000000953674316,3801,decision,beta,pair13,Fp2,C3,0.005288833286613226,True
G05,4,2.4000000953674316,4994,decision,gamma,pair13,F7,F8,0.01932317391037941,True
G05,4,2.4000000953674316,8156,feedback,beta,pair13,T3,C4,0.11459247767925262,True
G06,5,2.4000000953674316,3801,decision,beta,pair13,Fp2,C3,0.06606674194335938,True
G06,5,2.4000000953674316,4994,decision,gamma,pair13,F7,F8,0.12333063036203384,True
G06,5,2.4000000953674316,8156,feedback,beta,pair13,T3,C4,0.13099835813045502,True
G07,6,0.8999999761581421,3801,decision,beta,pair13,Fp2,C3,0.09082532674074173,True
G07,6,0.8999999761581421,4994,decision,gamma,pair13,F7,F8,0.05015888065099716,True
G07,6,0.8999999761581421,8156,feedback,beta,pair13,T3,C4,-0.03754306584596634,False
G08,7,5.800000190734863,3801,decision,beta,pair13,Fp2,C3,0.06778378784656525,True
G08,7,5.800000190734863,4994,decision,gamma,pair13,F7,F8,0.08712981641292572,True
G08,7,5.800000190734863,8156,feedback,beta,pair13,T3,C4,0.1324547976255417,True
G09,8,1.600000023841858,3801,decision,beta,pair13,Fp2,C3,0.2939055263996124,True
G09,8,1.600000023841858,4994,decision,gamma,pair13,F7,F8,0.1576727330684662,True
G09,8,1.600000023841858,8156,feedback,beta,pair13,T3,C4,-0.03699121251702309,False
G10,9,3.700000047683716,3801,decision,beta,pair13,Fp2,C3,0.07886578887701035,True
G10,9,3.700000047683716,4994,decision,gamma,pair13,F7,F8,0.08913704007863998,True
G10,9,3.700000047683716,8156,feedback,beta,pair13,T3,C4,0.06588687002658844,True
G11,10,7.0,3801,decision,beta,pair13,Fp2,C3,0.07192579656839371,True
G11,10,7.0,4994,decision,gamma,pair13,F7,F8,0.029908273369073868,True
G11,10,7.0,8156,feedback,beta,pair13,T3,C4,0.10331697016954422,True
